date,usd_mxn,udi,cetes_28d_carry,tiie_28d_carry,policy_rate_carry
2021-06-22,20.5712,6.820206,125.9029162786511,127.61460415955487,126.35805287819188
2021-06-23,20.2505,6.820999,125.91701041066786,127.6297938423,126.37209266184502
2021-06-24,20.0483,6.821792,125.93110612044438,127.64497717891359,126.38613400547412
2021-06-25,19.793,6.822585,125.94520340815731,127.66017508629363,126.40017690925251
2021-06-28,19.8027,6.827259,125.987504740681,127.70826645654279,126.44494892374362
2021-06-29,19.8157,6.828818,126.00160834190615,127.72433641340524,126.45987645243602
2021-06-30,19.9062,6.830377,126.01665853401364,127.74040555408534,126.47480574340611
2021-07-01,20.0368,6.831937,126.03171052378298,127.75647600677296,126.48973679686193
2021-07-02,19.8817,6.833497,126.04676431142884,127.7725484812128,126.50466961301157
2021-07-05,19.8532,6.838179,126.09193646377341,127.82075141161215,126.5494786397044
2021-07-06,19.9658,6.839741,126.10699744507323,127.83682309581394,126.56441850871047
2021-07-07,19.9915,6.841303,126.1220602253236,127.85288969876109,126.57936014145108
2021-07-08,20.007,6.842865,126.13712480473937,127.86895654523325,126.59430353813445
2021-07-09,19.88,6.844427,126.15219118353549,127.88502363481471,126.60924869896881
2021-07-12,19.8577,6.84784,126.19740111835513,127.9332530074666,126.6540947684607
2021-07-13,19.9988,6.848765,126.21247469682204,127.9493299529279,126.66904698798199
2021-07-14,19.8992,6.84969,126.22755007574415,127.96540358750322,126.68400097269583
2021-07-15,19.9412,6.850615,126.24262725533653,127.98148635051798,126.69895672281066
2021-07-16,19.8537,6.851541,126.25770623581423,127.99756473574901,126.71391423853488
2021-07-19,20.0,6.854318,126.30295398471057,128.04579920910376,126.75879738144842
2021-07-20,20.1348,6.855244,126.31804017088095,128.06188140580164,126.77376196169483
2021-07-21,20.1907,6.85617,126.33323342404594,128.07786139423638,126.7887283085931
2021-07-22,20.1812,6.857096,126.34842850462167,128.0938906943617,126.80369642235175
2021-07-23,20.0238,6.858023,126.36362541282793,128.1099522449893,126.81866630317937
2021-07-26,20.0245,6.861446,126.40922710542822,128.1581489815222,126.86358655016245
2021-07-27,19.977,6.863016,126.42443132635506,128.17421502947647,126.8785635013524
2021-07-28,19.9535,6.864587,126.43970761180698,128.19028131129093,126.89354222065465
2021-07-29,19.8448,6.866158,126.45498574314342,128.20635850907206,126.90852270827793
2021-07-30,19.8455,6.86773,126.47026572058739,128.22243487417154,126.92350496443099
2021-08-02,19.852,6.872446,126.51611673179535,128.2706685842846,126.96846234615687
2021-08-03,19.892,6.874019,126.53140409590044,128.28674695628425,126.98345167851717
2021-08-04,19.9547,6.875592,126.5466230120042,128.30283268894428,126.99844278045143
2021-08-05,19.9293,6.877166,126.56184375860538,128.31891509262508,127.01343565216857
2021-08-06,20.0037,6.87874,126.57706633592412,128.33500236372194,127.02843029387749
2021-08-09,20.0648,6.883464,126.62274505438789,128.38325702406095,127.0734248410448
2021-08-10,20.1038,6.88504,126.63797495677915,128.39934950870875,127.08842656481076
2021-08-11,19.953,6.886134,126.65380470364873,128.41545185713173,127.10343005961356
2021-08-12,19.8907,6.887228,126.66963642923668,128.43157513053157,127.11843532566225
2021-08-13,19.8603,6.888323,126.68547013379032,128.4477414550511,127.13344236316597
2021-08-16,19.8863,6.891608,126.7329831237193,128.49861882858542,127.18112336368054
2021-08-17,19.9912,6.892703,126.74882474660976,128.5155849295581,127.197021004101
